Question,Answer
What is the specific CTS number of the land in Aarey Dairy being transferred for the service road?,"The land is identified as CTS No. 589A in Aarey Dairy, Pahadi Goregaon."
What is the total area of land being transferred from Aarey Dairy to the Brihanmumbai Municipal Corporation?,"The total area being transferred is 21,493.30 square meters."
What is the designated width of the service road to be constructed on the transferred Aarey land?,The service road will have a width of 18.30 meters.
Between which two landmarks is the service road in Aarey Dairy proposed to be constructed?,The road is proposed to run from Shivdham crematorium to the Aarey check post near the Jogeshwari West Expressway.
Who is responsible for the construction of the retaining wall of Aarey Dairy Colony along the Western Expressway?,"The construction has been undertaken by the Public Works Special Projects Department, Aarey."
What is the funding pattern for the National Mission on Sustainable Agriculture (NMSA) - Forest Farming Sub-Mission?,The funding pattern is a ratio of 60:40 between the Central Government and the State Government.
What is the exact Central share amount approved for the Forest Farming Sub-Mission administrative approval in 2017-18?,Rs. 398.94 lakhs.
What is the exact State share amount approved for the Forest Farming Sub-Mission administrative approval in 2017-18?,Rs. 265.96 lakhs.
What is the total budget approved for the strengthening of Fertilizer Control Laboratories under RKVY?,Rs. 100.00 lakhs.
How much fund is allocated specifically for the purchase of equipment at the Commissionerate Level for Fertilizer Control Laboratories?,Rs. 24.00 lakhs.
How much is allocated for NABL Registration Fees and Training for the laboratories?,Rs. 7.00 lakhs.
Who is the Chairman of the one-member inquiry committee constituted by the Animal Husbandry Department?,"Mr. Mukesh Khullar, Additional Chief Secretary (Services), General Administration Department."
What is the specific allegation being investigated by the Mukesh Khullar committee?,"The committee is investigating alleged manipulation of tender terms, specifically the non-inclusion of condition No. 10(b) in the contract during procurement for 2016-17."
What was the deadline for the inquiry committee to complete its term?,"March 26, 2018."
Which legislative session raised the starred question regarding the Animal Husbandry procurement irregularities?,The Budget Session of the Legislative Council in 2018.
Which universities are the beneficiaries of the revised grant estimates for 2017-18?,"Mahatma Phule Agricultural University (Rahuri), Dr. Balasaheb Sawant Konkan Agricultural University (Dapoli), Dr. Punjabrao Deshmukh Agricultural University (Akola), and Vasantrao Naik Marathwada Agricultural University (Parbhani)."
What is the revised grant amount for Mahatma Phule Agricultural University for 'Subsidy to M.F.C.V.' (Non-Salaried)?,"Rs. 25,21,89,000."
What is the total revised grant for reimbursement of educational fees for EWS students at Dr. Balasaheb Sawant Konkan Agricultural University?,"Rs. 4,06,35,000."
Under which budget head are the grants to Agricultural Universities disbursed?,"Demand No. D-3, head '2415 Agricultural Research and Education', sub-heading '01 Crop Conservation'."
How many temporary 'Pumpkin Helper' posts were extended in the Vegetable and Fruit schemes?,409 posts.
How many 'Agricultural Supervisor' posts were extended in the Vegetable and Fruit schemes?,114 posts.
"Until what date have the 13,439 temporary posts under the Commissionerate of Agriculture been extended?","September 30, 2018."
How many temporary posts are located in the Divisional and District Agricultural Offices under the extension order?,"9,703 posts."
What is the purpose of the project approved under Government Resolution No. Rakruvi-2018/No.6/Padum-4?,To provide artificial insemination facilities for cows and buffaloes at the doorstep of farmers.
When was the first administrative approval given for the artificial insemination at doorstep project?,"October 17, 2012."
Who acts as the Control Officer at the Taluka Level for the NMSA Forest Farming funds?,The Taluka Agriculture Officer.
Which officer is the Drawing and Disbursing Officer for NMSA funds at the District Level?,The Accountant in the office of the concerned District Superintendent Agriculture Officer.
What is the specific budget head for the State Share (40%) of the NMSA Forest Farming scheme?,Demand No. D-3 2401 Crop Protection 109 Extension and Farmers Training (01) (57)... (2401A833) 33 Financial Assistance.
Are the temporary posts in the Vegetable/Fruit schemes permanent?,"No, they are temporary posts."
Who is responsible for furnishing the necessary files and documents to the Inquiry Committee regarding the procurement irregularity?,The office of the Department of Animal Husbandry (Padum-4).
What is agriculture?,Agriculture is the practice of cultivating soil growing crops and raising animals for food fiber and other products.
What is a crop?,A crop is a plant grown and harvested for food fiber or other uses.
What is farming?,Farming is the activity of growing crops and raising animals for food.
What is soil?,Soil is the top layer of earth where plants grow.
What is irrigation?,Irrigation is the supply of water to crops artificially.
What is fertilizer?,Fertilizer is a substance added to soil to improve plant growth.
What is manure?,Manure is organic matter used to increase soil fertility.
What is harvesting?,Harvesting is collecting mature crops from the field.
What are weeds?,Weeds are unwanted plants that grow with crops.
What are pesticides?,Pesticides are chemicals used to control pests.
What is organic farming?,Organic farming uses natural fertilizers and avoids chemical pesticides.
What is crop rotation?,Crop rotation means growing different crops in sequence on the same land.
What is compost?,Compost is decomposed organic waste used as fertilizer.
What is soil erosion?,Soil erosion is the loss of fertile soil due to wind or water.
What is drip irrigation?,Drip irrigation delivers water slowly to plant roots through pipes.
What is sprinkler irrigation?,Sprinkler irrigation sprays water over crops like rain.
What is crop yield?,Crop yield is the amount of crop produced per unit area.
What is soil fertility?,Soil fertility is the soil's ability to supply nutrients to plants.
What are macronutrients?,Macronutrients are nutrients required in large quantities like nitrogen phosphorus and potassium.
What are micronutrients?,Micronutrients are nutrients required in small amounts like zinc and iron.
What fertilizer is best for tomatoes?,A balanced fertilizer with nitrogen phosphorus and potassium works best for tomatoes.
How often should crops be watered?,Watering depends on crop type soil and climate but usually every few days.
What causes yellow leaves in plants?,Yellow leaves can be caused by nutrient deficiency overwatering or pests.
What fertilizer is good for rice?,Nitrogen rich fertilizers such as urea are commonly used for rice.
What fertilizer is good for wheat?,Wheat grows well with nitrogen phosphorus and potassium fertilizers.
How to control weeds in fields?,Weeds can be controlled by hand removal herbicides or mulching.
What is seed germination?,Seed germination is the process of a seed growing into a plant.
What temperature is good for plant growth?,Most crops grow best between 20 to 30 degrees Celsius.
Why is soil testing important?,Soil testing helps determine nutrient levels and fertilizer needs.
How to improve soil fertility?,Adding manure compost and crop rotation improves soil fertility.
What is mulching?,Mulching covers soil with organic materials to retain moisture.
What is crop disease?,Crop disease is damage caused by fungi bacteria or viruses.
What causes plant diseases?,Plant diseases are caused by pathogens poor soil or weather conditions.
How to control pests naturally?,Natural pest control includes neem oil beneficial insects and organic sprays.
What is hybrid seed?,Hybrid seeds are produced by cross breeding two plant varieties.
What is greenhouse farming?,Greenhouse farming grows plants in controlled environments.
What is hydroponics?,Hydroponics grows plants in water without soil.
What is organic fertilizer?,Organic fertilizers come from plant or animal waste.
What is chemical fertilizer?,Chemical fertilizers are manufactured nutrients for plants.
What is crop diversification?,Crop diversification means growing different crops to reduce risk.
What is mechanized farming?,Mechanized farming uses machines like tractors and harvesters.
What is sustainable agriculture?,Sustainable agriculture protects natural resources while producing food.
What is agroforestry?,Agroforestry grows trees and crops together on the same land.
What is soil pH?,Soil pH measures soil acidity or alkalinity.
What is ideal soil pH for crops?,Most crops grow well in soil with pH between 6 and 7.
What causes soil salinity?,Soil salinity is caused by excess salt in soil due to irrigation or poor drainage.
What is water logging?,Water logging occurs when soil becomes saturated with water.
What is drought?,Drought is a long period with little rainfall.
What crops grow well in drought?,Millets sorghum and pulses grow well in drought conditions.
What is terrace farming?,Terrace farming grows crops on steps cut into hills.
What is mixed cropping?,Mixed cropping grows different crops together in the same field.
What is intercropping?,Intercropping grows two or more crops in rows together.
What is monocropping?,Monocropping grows the same crop repeatedly on the same land.
What are pulses?,Pulses are edible seeds like lentils chickpeas and beans.
What are cereals?,Cereals are grains such as rice wheat and maize.
What is horticulture?,Horticulture is the cultivation of fruits vegetables and flowers.
What is plantation farming?,Plantation farming grows crops like tea coffee or rubber.
What is subsistence farming?,Subsistence farming produces crops mainly for family use.
What is commercial farming?,Commercial farming produces crops for sale in markets.
What is seed treatment?,Seed treatment protects seeds from pests and diseases.
What is plant nutrition?,Plant nutrition refers to nutrients needed for plant growth.
What is nitrogen fertilizer?,Nitrogen fertilizer promotes leaf growth in plants.
What is phosphorus fertilizer?,Phosphorus fertilizer supports root and flower growth.
What is potassium fertilizer?,Potassium fertilizer improves plant strength and disease resistance.
What is NPK fertilizer?,NPK fertilizer contains nitrogen phosphorus and potassium.
What crops grow in summer?,Crops like maize cotton and rice grow in summer.
What crops grow in winter?,Crops like wheat mustard and barley grow in winter.
What crops grow in rainy season?,Rice maize and cotton grow in rainy season.
What is crop maturity?,Crop maturity is when crops are ready to harvest.
What is post harvest management?,Post harvest management includes storage handling and processing of crops.
What is farm management?,Farm management involves planning and controlling farming activities.
What is farm mechanization?,Farm mechanization uses machines to improve efficiency.
What is irrigation canal?,An irrigation canal carries water to farms.
What is farm productivity?,Farm productivity measures how efficiently crops are produced.
What is crop insurance?,Crop insurance protects farmers from losses due to crop failure.
What is agricultural research?,Agricultural research studies better farming methods.
What is biodiversity in farming?,Biodiversity means having many plant and animal species in agriculture.
What is crop residue?,Crop residue is leftover plant material after harvest.
What is climate change?,Climate change refers to long term changes in temperature and weather.
How does climate change affect farming?,Climate change affects rainfall temperature and crop productivity.
What is vertical farming?,Vertical farming grows crops in stacked layers indoors.
What is aquaponics?,Aquaponics combines fish farming and hydroponic plant growth.
What is soil conservation?,Soil conservation prevents soil erosion and fertility loss.
What is nutrient management?,Nutrient management ensures correct fertilizer use.
What is water conservation?,Water conservation means using water efficiently.
What is integrated pest management?,Integrated pest management combines biological cultural and chemical pest control.
What is biological pest control?,Biological pest control uses natural predators to control pests.
What is organic pesticide?,Organic pesticides are natural substances used to control pests.
What is farm sustainability?,Farm sustainability ensures long term farm productivity.
What is agroecology?,Agroecology applies ecological principles to farming.
What is seed bank?,Seed banks store seeds for future use.
What is crop improvement?,Crop improvement develops better crop varieties.
What is plant breeding?,Plant breeding develops improved plant varieties.
What is farm irrigation system?,Farm irrigation systems distribute water to crops.
What is soil moisture?,Soil moisture is water present in soil.
What is soil structure?,Soil structure refers to arrangement of soil particles.
What is crop growth?,Crop growth is the development of plants over time.
What is plant disease management?,Plant disease management controls plant diseases.
What is crop protection?,Crop protection prevents crop damage from pests diseases and weeds.
What is farm technology?,Farm technology includes tools and machines used in farming.
What is smart farming?,Smart farming uses digital technologies in agriculture.
What is precision agriculture?,Precision agriculture uses data and technology for efficient farming.
What is irrigation scheduling?,Irrigation scheduling plans watering times for crops.
What is farm input?,Farm inputs include seeds fertilizers and equipment.
What is farm output?,Farm output is the produce obtained from farming.
What is agricultural extension?,Agricultural extension provides education and support to farmers.
What is food security?,Food security means reliable access to sufficient food.
What is crop productivity?,Crop productivity measures crop production efficiency.
What is greenhouse effect?,The greenhouse effect warms the earth due to trapped heat.
What is climate smart agriculture?,Climate smart agriculture adapts farming to climate change.